Model,Relevance_system_pearson,Coherence_system_pearson,Empathy_system_pearson,Surprise_system_pearson,Engagement_system_pearson,Complexity_system_pearson,Relevance_system_spearman,Coherence_system_spearman,Empathy_system_spearman,Surprise_system_spearman,Engagement_system_spearman,Complexity_system_spearman,Relevance_system_kendall,Coherence_system_kendall,Empathy_system_kendall,Surprise_system_kendall,Engagement_system_kendall,Complexity_system_kendall
BLEU Ξ§,0.7988772238903901,0.7385058501183717,0.7730162713288586,0.8050855886583825,0.8125837218208478,0.8683284366448947,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
ROUGE-1 Recall Ξ§,0.7909720918180811,0.7352521514260209,0.745915607859952,0.8411456003669074,0.8172474250058828,0.9048909302849866,0.6969696969696969,0.6,0.6242424242424242,0.6484848484848483,0.6,0.7477238187264795,0.5111111111111111,0.37777777777777777,0.4666666666666666,0.4666666666666666,0.37777777777777777,0.5843065474681431
ROUGE-1 Precision Ξ§,0.5736173926169554,0.18708804120393965,0.22059832458236966,0.4729328699900335,0.32513435980320127,0.5209306944353106,0.43030303030303024,0.32121212121212117,0.309090909090909,0.41818181818181815,0.32121212121212117,0.56535215562246,0.3333333333333333,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-1 F-Score Ξ§,0.747871061940449,0.8471942219422146,0.8553353088745822,0.8794481644130538,0.9069429806117622,0.9334615843431664,0.6969696969696969,0.6,0.6969696969696969,0.6,0.6,0.6565379871744699,0.5111111111111111,0.37777777777777777,0.5555555555555555,0.37777777777777777,0.37777777777777777,0.4944132324730442
ROUGE-2 Recall Ξ§,0.6744343126230803,0.7403653287434525,0.7736752378368351,0.7107704931844457,0.7642445851264887,0.7978098927752229,0.6121212121212121,0.5878787878787878,0.7212121212121211,0.5636363636363636,0.5878787878787878,0.5106406566912542,0.4666666666666666,0.4222222222222222,0.6,0.4222222222222222,0.4222222222222222,0.3595732599803958
ROUGE-2 Precision Ξ§,0.6151600470779237,0.1905480367870933,0.2438083660028481,0.5011353128646553,0.33302032119359126,0.47475242933103257,0.3939393939393939,0.16363636363636364,0.12727272727272726,0.22424242424242422,0.16363636363636364,0.395138603392042,0.28888888888888886,0.06666666666666667,0.022222222222222223,0.15555555555555553,0.06666666666666667,0.26967994498529685
ROUGE-2 F-Score Ξ§,0.42195278981430556,0.7354481440371475,0.7433521242007219,0.5695974679733521,0.7032688744193606,0.656085768129697,0.38181818181818183,0.5030303030303029,0.5757575757575757,0.5151515151515151,0.5030303030303029,0.43769199144964654,0.28888888888888886,0.3333333333333333,0.4222222222222222,0.3333333333333333,0.3333333333333333,0.22473328748774737
ROUGE-3 Recall Ξ§,0.13614449192980327,0.28046150045286833,0.389801578405953,0.05121389866709912,0.21798129852942116,0.14969072826578017,0.2727272727272727,0.34545454545454546,0.38181818181818183,0.28484848484848485,0.34545454545454546,0.1580554413568168,0.15555555555555553,0.28888888888888886,0.28888888888888886,0.19999999999999998,0.28888888888888886,0.08989331499509895
ROUGE-3 Precision Ξ§,0.7154920821596139,0.5577596137387567,0.5700146967743882,0.7858989975571832,0.6740127120119421,0.7683337128861929,0.4666666666666666,0.33333333333333326,0.29696969696969694,0.43030303030303024,0.33333333333333326,0.5896683773696627,0.4222222222222222,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-3 F-Score Ξ§,0.31913845739297897,0.07292549263525434,0.02086628107171084,0.36665017811497114,0.1831963817455145,0.3017257961322341,0.05454545454545454,0.006060606060606061,0.0303030303030303,0.07878787878787878,0.006060606060606061,0.1702135522304181,0.022222222222222223,0.1111111111111111,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.08989331499509895
ROUGE-4 Recall Ξ§,0.4021372343491424,0.14292512911052663,0.12989049842230874,0.37191987743304217,0.2794009656152443,0.3894525596006255,0.32121212121212117,0.04242424242424241,0.05454545454545454,0.11515151515151514,0.04242424242424241,0.18845071854082002,0.19999999999999998,0.1111111111111111,0.1111111111111111,0.022222222222222223,0.1111111111111111,0.044946657497549475
ROUGE-4 Precision Ξ§,0.7105410039810973,0.5701776330455505,0.5953210974044219,0.7820632973212633,0.6872896707217643,0.7699280679756666,0.43030303030303024,0.2121212121212121,0.2121212121212121,0.309090909090909,0.2121212121212121,0.4012176588288426,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.19999999999999998,0.1111111111111111,0.26967994498529685
ROUGE-4 F-Score Ξ§,0.5558959744776244,0.3772207654400158,0.37615451300009467,0.6059409220436778,0.5104100249020969,0.6134627134814858,0.32121212121212117,0.10303030303030303,0.07878787878787878,0.19999999999999998,0.10303030303030303,0.23708316203522517,0.19999999999999998,0.022222222222222223,0.022222222222222223,0.06666666666666667,0.022222222222222223,0.13483997249264842
ROUGE-L Recall Ξ§,0.7691417101725779,0.7136555871357599,0.7379068817154671,0.800479071053884,0.7872026927465763,0.8758155963069576,0.709090909090909,0.6363636363636362,0.6363636363636362,0.6969696969696969,0.6363636363636362,0.7781190959104827,0.5555555555555555,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.4222222222222222,0.6292532049656925
ROUGE-L Precision Ξ§,0.7259257852764522,0.6505881478271431,0.6484287656716266,0.8199840083068617,0.7639085220984554,0.8689370644265986,0.5151515151515151,0.33333333333333326,0.29696969696969694,0.43030303030303024,0.33333333333333326,0.5957474328064633,0.4222222222222222,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-L F-Score Ξ§,0.5892088840898617,0.8049946637277776,0.8301506676975186,0.7249219728481019,0.8162557235029781,0.791463649200325,0.6121212121212121,0.5878787878787878,0.7212121212121211,0.5636363636363636,0.5878787878787878,0.5106406566912542,0.4666666666666666,0.4222222222222222,0.6,0.4222222222222222,0.4222222222222222,0.3595732599803958
ROUGE-W-1.2 Recall Ξ§,0.7612031392623068,0.7251039042759025,0.7399045081477422,0.80803252301577,0.7961899962401949,0.8830660446447298,0.709090909090909,0.6363636363636362,0.6363636363636362,0.6969696969696969,0.6363636363636362,0.7781190959104827,0.5555555555555555,0.4222222222222222,0.5111111111111111,0.5111111111111111,0.4222222222222222,0.6292532049656925
ROUGE-W-1.2 Precision Ξ§,0.7269351514178393,0.6887899319110505,0.683518059657415,0.8351317739063794,0.7947918358349978,0.8874064402224264,0.5151515151515151,0.33333333333333326,0.29696969696969694,0.43030303030303024,0.33333333333333326,0.5957474328064633,0.4222222222222222,0.19999999999999998,0.19999999999999998,0.28888888888888886,0.19999999999999998,0.40451991747794525
ROUGE-W-1.2 F-Score Ξ§,0.6888777231181642,0.7954333574409106,0.8153780807324597,0.7920916139537243,0.8361639314697298,0.8652501997766028,0.7333333333333332,0.6606060606060605,0.7454545454545454,0.6606060606060605,0.6606060606060605,0.6565379871744699,0.6,0.4666666666666666,0.6444444444444444,0.4666666666666666,0.4666666666666666,0.4944132324730442
ROUGE-S* Recall Ξ§,0.8024003267945665,0.6440384499271912,0.6689103211467302,0.7727978541336588,0.7299288369910928,0.8439004938676171,0.7575757575757575,0.6,0.5878787878787878,0.6484848484848483,0.6,0.7659609850368815,0.6,0.37777777777777777,0.37777777777777777,0.4666666666666666,0.37777777777777777,0.5843065474681431
ROUGE-S* Precision Ξ§,0.6489333729750504,0.3182949869010141,0.3461010116923464,0.5969379619824844,0.45663803788138024,0.6247374729288656,0.5272727272727272,0.32121212121212117,0.28484848484848485,0.41818181818181815,0.32121212121212117,0.5835893219328621,0.4666666666666666,0.15555555555555553,0.15555555555555553,0.24444444444444444,0.15555555555555553,0.3595732599803958
ROUGE-S* F-Score Ξ§,0.8038799421781593,0.7684878782667075,0.8119335616094348,0.8348732693824732,0.8412964452176853,0.9017875988149737,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
ROUGE-SU* Recall Ξ§,0.8023184167779331,0.6455964865666717,0.6701559073040575,0.7740505996507623,0.7314332444611659,0.8450496273121628,0.7575757575757575,0.6,0.5878787878787878,0.6484848484848483,0.6,0.7659609850368815,0.6,0.37777777777777777,0.37777777777777777,0.4666666666666666,0.37777777777777777,0.5843065474681431
ROUGE-SU* Precision Ξ§,0.6562172096042009,0.3303717871360393,0.35622731615958314,0.6047919333784126,0.4685014596665523,0.6352915667685439,0.5272727272727272,0.32121212121212117,0.28484848484848485,0.41818181818181815,0.32121212121212117,0.5835893219328621,0.4666666666666666,0.15555555555555553,0.15555555555555553,0.24444444444444444,0.15555555555555553,0.3595732599803958
ROUGE-SU* F-Score Ξ§,0.8028571830059097,0.7707632193170144,0.8138687880343236,0.8357907111884304,0.8431684865336645,0.902547751271219,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
METEOR Ξ§,0.7763192056121728,0.71946127685627,0.7250235784716648,0.8319909880548882,0.8074366507270766,0.8970454543802014,0.7333333333333332,0.6242424242424242,0.6121212121212121,0.6727272727272726,0.6242424242424242,0.7963562622208846,0.5555555555555555,0.4222222222222222,0.4222222222222222,0.5111111111111111,0.4222222222222222,0.6292532049656925
chrF Ξ§,0.7629580459593744,0.745554645768649,0.7368634582801407,0.8738780828622992,0.8328729737654669,0.9245492943271233,0.7454545454545454,0.6606060606060605,0.6242424242424242,0.7212121212121211,0.6606060606060605,0.8267515394048879,0.6,0.4666666666666666,0.4666666666666666,0.5555555555555555,0.4666666666666666,0.6741998624632421
CIDEr Ξ§,0.26163626243626714,0.2805091956793065,0.24889831492106448,0.3293694975356647,0.3248580726179069,0.2839650616984611,0.5151515151515151,0.24848484848484845,0.24848484848484845,0.1515151515151515,0.24848484848484845,0.2553203283456271,0.24444444444444444,0.1111111111111111,0.19999999999999998,0.022222222222222223,0.1111111111111111,0.13483997249264842
ROUGE-WE-3 Recall Ξε,0.753594313690214,0.7803403611558497,0.8096358047662874,0.8243507000602309,0.8430661469174645,0.9030204944086088,0.7212121212121211,0.5757575757575757,0.6,0.6242424242424242,0.5757575757575757,0.7173285415424762,0.5555555555555555,0.3333333333333333,0.4222222222222222,0.4222222222222222,0.3333333333333333,0.5393598899705937
